Ginger Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,Smart Single Room Rate,"1,17,256","1,16,967",Save Rs.289,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Summit Hotel,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,AC Executive Room,"1,12,953","1,12,788",Save Rs.165,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Sarovar Portico Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,Standard Room,"1,13,252","1,13,038",Save Rs.214,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Ramada Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",4 Star hotel,TripAdvisor: 3.5/5,Superior Room Package,"1,18,254","1,17,905",Save Rs.349,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Hotel Chambers Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,Ecobiz Room Package,"1,11,759","1,11,260",Save Rs.499,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Tulip Inn Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,Executive Room Rates Package,"1,14,043","1,13,796",Save Rs.247,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Radisson Blu Hotel,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",5 Star hotel,TripAdvisor: 4/5,Best Available Rate - Superior Room,"1,24,465","1,23,927",Save Rs.538,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Hotel Dev Corporate,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,AC Deluxe Room,"1,13,563","1,13,336",Save Rs.227,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Park Plaza Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",4 Star hotel,TripAdvisor: 4.5/5,Standard Room,"1,17,237","1,16,902",Save Rs.335,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Lemon Tree Hotel Ahmedabad,07:00  21:25,08:05  14:40,"21h 55m, 2 stops","23h 5m, 2 stops",4 Star hotel,TripAdvisor: 4/5,Standard Room Only,"1,15,232","1,15,004",Save Rs.228,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AKL&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AKL&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Ginger Ahmedabad,13:50  07:30,20:15  13:15,"17h 40m, 3 stops","41h 0m, 3 stops",3 Star hotel,TripAdvisor: 3.5/5,Smart Single Room Rate,"30,789","30,500",Save Rs.289,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AGR&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AGR&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=Gujarat&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Summit Hotel,13:50  07:30,20:15  13:15,"17h 40m, 3 stops","41h 0m, 3 stops",3 Star hotel,TripAdvisor: 3.5/5,AC Executive Room,"26,486","26,321",Save Rs.165,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AGR&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AGR&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=Gujarat&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Sarovar Portico Ahmedabad,13:50  07:30,20:15  13:15,"17h 40m, 3 stops","41h 0m, 3 stops",3 Star hotel,TripAdvisor: 3.5/5,Standard Room,"26,785","26,571",Save Rs.214,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AGR&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AGR&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=Gujarat&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Ramada Ahmedabad,13:50  07:30,20:15  13:15,"17h 40m, 3 stops","41h 0m, 3 stops",4 Star hotel,TripAdvisor: 3.5/5,Superior Room Package,"31,787","31,438",Save Rs.349,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AGR&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AGR&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=Gujarat&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Hotel Chambers Ahmedabad,13:50  07:30,20:15  13:15,"17h 40m, 3 stops","41h 0m, 3 stops",3 Star hotel,TripAdvisor: 3.5/5,Ecobiz Room Package,"25,292","24,793",Save Rs.499,0,0,1,1,1,IN,0,http://www.cleartrip.com/packages/results?origin=AGR&city=Ahmedabad&chk_out=3%2F02%2F2014&childs=0&from=AGR&adults=1&dest_code=32136&num_rooms=1&country=IN&children1=0&state=Gujarat&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
